ID,SAMPLES,date,TIME,X_axis,Y_axis,Z_axis,TEMP,MAC_ID,None
6,19,03-06-2020,339,-16,-38,190,32,8cb1190709cc, 
6,20,04-06-2020,340,14,20,142,32,8cb1190709cc, 
6,21,05-06-2020,341,26,-90,328,32,8cb1190709cc, 
6,22,06-06-2020,342,-24,56,70,32,8cb1190709cc, 
6,23,07-06-2020,343,64,-48,322,32,8cb1190709cc, 
6,24,08-06-2020,344,-50,64,252,32,8cb1190709cc, 
6,25,09-06-2020,345,58,-68,384,32,8cb1190709cc, 
6,26,10-06-2020,346,-38,74,192,32,8cb1190709cc, 
6,27,11-06-2020,347,52,-34,390,32,8cb1190709cc, 
6,28,12-06-2020,348,-54,24,320,32,8cb1190709cc, 
6,29,13-06-2020,349,44,-38,274,32,8cb1190709cc, 
6,30,14-06-2020,350,-22,44,212,32,8cb1190709cc, 
6,31,15-06-2020,351,40,-34,306,32,8cb1190709cc, 
6,32,16-06-2020,352,2,-40,222,32,8cb1190709cc, 
6,1,17-06-2020,353,-64,98,348,32,8cb1190709cc, 
6,2,18-06-2020,354,24,-12,14,32,8cb1190709cc, 
6,3,19-06-2020,355,10,-88,410,32,8cb1190709cc, 
6,4,20-06-2020,356,-36,124,248,32,8cb1190709cc, 
6,5,21-06-2020,357,-6,-10,150,32,8cb1190709cc, 
6,6,22-06-2020,358,38,-110,384,32,8cb1190709cc, 
6,7,23-06-2020,359,-66,42,346,32,8cb1190709cc, 
6,8,24-06-2020,360,-8,48,-128,32,8cb1190709cc, 
6,9,25-06-2020,361,66,-90,540,32,8cb1190709cc, 
6,10,26-06-2020,362,-64,32,248,32,8cb1190709cc, 
6,11,27-06-2020,363,-12,14,38,32,8cb1190709cc, 
6,12,28-06-2020,364,78,-50,420,32,8cb1190709cc, 
6,13,29-06-2020,365,-76,8,230,32,8cb1190709cc, 
6,14,30-06-2020,366,2,62,30,32,8cb1190709cc, 
6,15,01-07-2020,367,76,-60,478,32,8cb1190709cc, 
6,16,02-07-2020,368,-72,-24,178,32,8cb1190709cc, 
6,17,03-07-2020,369,-70,12,52,32,8cb1190709cc, 
6,18,04-07-2020,370,64,-60,384,32,8cb1190709cc, 
6,19,05-07-2020,371,-40,52,268,32,8cb1190709cc, 
6,20,06-07-2020,372,44,-38,274,32,8cb1190709cc, 
6,21,07-07-2020,373,-48,28,270,32,8cb1190709cc, 
6,22,08-07-2020,374,18,6,208,32,8cb1190709cc, 
